Mon Jun 21 09:03:46 2021,B00IPSDSXU,533.0,533.0,669.0,https://m.media-amazon.com/images/I/81VHQktvPAL._AC_UL320_.jpg,https://www.amazon.in/dp/B00IPSDSXU,,Deal of the Day,3.9,714,20.328849028400597,Women's Swann Handbag (Maroon) (FSB-101)
Mon Jun 21 08:35:29 2021,B00ISNVM0S,1555.0,1555.0,1945.0,https://m.media-amazon.com/images/I/71L5g2Cmv2L._AC_UL320_.jpg,https://www.amazon.in/dp/B00ISNVM0S,,Deal of the Day,4.2,421,20.051413881748072,Karishma Analog Multi-Colour Dial Men's Watch NM1639SM01/NN1639SM01
Mon Jun 21 09:01:13 2021,B00IZ963K4,1137.0,1137.0,1285.0,https://m.media-amazon.com/images/I/81RP-fppqqL._AC_UL320_.jpg,https://www.amazon.in/dp/B00IZ963K4,Save 5%,Deal of the Day,4.1,3420,11.517509727626459,Sparx Men's Sx0171g Running Shoes
Mon Jun 21 07:18:27 2021,B00IZ97K3I,552.0,552.0,649.0,https://m.media-amazon.com/images/I/61BTn+U4i0L._AC_UL320_.jpg,https://www.amazon.in/dp/B00IZ97K3I,,Deal of the Day,4.3,8942,14.946070878274268,Men's Athletic & Outdoor Sandals
Mon Jun 21 08:30:31 2021,B00IZ97T2A,580.0,580.0,708.0,https://m.media-amazon.com/images/I/710U6KQnAQL._AC_UL320_.jpg,https://www.amazon.in/dp/B00IZ97T2A,Save 5%,Deal of the Day,4.2,5424,18.07909604519774,Men's Olive and Camel Brown Athletic & Outdoor Sandal
Mon Jun 21 07:51:02 2021,B00IZ9801O,559.0,559.0,649.0,https://m.media-amazon.com/images/I/81Hc7R6b5gL._AC_UL320_.jpg,https://www.amazon.in/dp/B00IZ9801O,Save 5%,Deal of the Day,4.2,7002,13.86748844375963,Men's Athletic and Outdoor Sandals
Mon Jun 21 07:50:55 2021,B00IZ98LUE,546.0,546.0,610.0,https://m.media-amazon.com/images/I/81yUKoFgkgL._AC_UL320_.jpg,https://www.amazon.in/dp/B00IZ98LUE,,Deal of the Day,4.2,6324,10.491803278688524,Men's Athletic & Outdoor Sandals
Mon Jun 21 07:20:50 2021,B00JAK1PMI,1975.0,1975.0,2195.0,https://m.media-amazon.com/images/I/71RLum+e0AL._AC_UL320_.jpg,https://www.amazon.in/dp/B00JAK1PMI,,Deal of the Day,4.5,1255,10.022779043280181,Vintage Series Digital Black Dial Unisex Watch - A168WA-1WDF(D131)
Mon Jun 21 07:58:45 2021,B00JFVD1VA,2043.0,2043.0,2471.0,https://m.media-amazon.com/images/I/81qfQO5PwOL._AC_UL320_.jpg,https://www.amazon.in/dp/B00JFVD1VA,,Deal of the Day,4.1,559,17.320922703358967,Casual Shoes for Men RC1211
Mon Jun 21 08:06:22 2021,B00JFVDDQ8,1898.0,1898.0,1921.0,https://m.media-amazon.com/images/I/810rLOfn55L._AC_UL320_.jpg,https://www.amazon.in/dp/B00JFVDDQ8,Save 10%,Deal of the Day,4.0,86,1.1972930765226444,Redchief Men's Leather Trekking and Hiking Footwear Shoes
Mon Jun 21 08:35:31 2021,B00JFVDMUK,2539.0,2539.0,2657.0,https://m.media-amazon.com/images/I/81LGtVfitfL._AC_UL320_.jpg,https://www.amazon.in/dp/B00JFVDMUK,Save 10%,Deal of the Day,3.8,317,4.441098983816334,Men's Trekking and Hiking Footwear Boots
